"Station","Time","Latitude","Longitude","Ammonium_NH4","Chlorophyll_a","Nitrate_Nitrite","Nitrate_NO3","Nitrite_NO2","Phosphate_PO4","Silicate_SiO4","Temperature"
130,"2014-01-20 10:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,7.9649
130,"2014-01-20 10:30:00",51.2708,2.905,1.87,10.14,6.33,6.17,0.16,0.46,9.24,NA
130,"2014-03-03 08:20:00",51.2708,2.905,1.35,NA,4.59,4.49,0.1,0.39,5.41,7.6161
130,"2014-03-24 08:30:00",51.2708,2.905,0.9,19.3529,7.18,6.9,0.28,0.05,0.25,9.2243
130,"2014-03-31 07:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.4421
130,"2014-04-16 11:20:00",51.2708,2.905,1.73,21.8084,34.2,34.03,0.17,0.57,7.62,11.0773
130,"2014-04-16 11:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2014-05-26 07:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.8214
130,"2014-05-27 07:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.8732
130,"2014-05-27 07:50:00",51.2708,2.905,0.93,7.2565,0.78,0.73,0.05,0.2,0.5,NA
130,"2014-06-25 04:00:00",51.2708,2.905,0.38,15.5821,0.09,0.06,0.03,0.15,0.25,18.646
130,"2014-07-22 07:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,20.1096
130,"2014-07-23 06:50:00",51.2708,2.905,7.2,3.6556,15.98,14.38,1.6,1.1,18.14,20.3126
130,"2014-08-27 07:00:00",51.2708,2.905,2.65,5.4414,7.81,7.26,0.55,0.53,2.03,17.0239
130,"2014-09-04 06:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,18.1007
130,"2014-09-24 18:20:00",51.2708,2.905,0.74,2.9745,17.81,16.66,1.15,1.15,14.64,17.5807
130,"2014-10-13 12:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.6996
130,"2014-10-15 12:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.6099
130,"2014-10-22 20:00:00",51.2708,2.905,4.51,6.8346,4.74,4.25,0.49,0.72,7.77,14.7159
130,"2014-11-18 08:10:00",51.2708,2.905,1.3,1.295,0.7,0.63,0.07,0.16,4.95,11.9449
130,"2014-11-18 08:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2014-11-26 08:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,10.4991
130,"2014-12-16 23:00:00",51.2708,2.905,1.72,1.4928,7.71,7.14,0.57,0.41,3.92,8.1741
130,"2015-02-17 11:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
